import_batch_id,source_file,row_no,pk_biopsy_id_text,fk_catalog_id_text,fk_manta_id_text,sample_date_text,sample_time_utc_text,collector,method,island,region,location,latitude_text,longitude_text,storage_vial_id,lab_tracking_id,catalog_name_text,notes,raw
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,2,2,165,,39750,,,,Maui,,Ukumehame,,,,,Lips,#N/A,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,3,3,4,,39759,,,contains skin,Maui,,Ukumehame,,,,,Radiation 1 - 28,#N/A | good skin sample | rapid swim | no,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,4,5,255,,39792,,,contains skin,Maui,,Ukumehame,,,,,Cat Print,#N/A | good skin sample | rapid swim | no,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,5,6,235,,39833,,,slight tissue,Maui,,Ukumehame,,,,,Suzi - 3,#N/A | pregnant female | rapid swim | no,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,6,4,185,,39792,,,slight tissue,Maui,,Ukumehame,,,,,Squashed Queen,#N/A,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,7,7,231,,39843,,,slight tissue,Maui,,Ukumehame,,,,,PSI - 12,"#N/A | Manta has white dorsal fungal spots, sample missed spot but on boundary, video has exact location sampled showing proximity to infected area | rapid swim | possibly, outer edge of infected area sampled",
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,8,8,127,,39854,,,"tissue, possibly skin from ventral side",Maui,,Ukumehame,,,,,Strings,"#N/A | After sample taken, white flake seen suspended in the water column, collected, possibly tissue, sample should be from suspicious area | rapid swim | yes",
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,9,9,59,,39905,,,,Maui,,Ukumehame,,,,,Peace Right - 65,#N/A,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,10,1,197,,39731,,,,Maui,,Ukumehame,,,,,Half Sun,#N/A,
045b138f-a869-44ce-abca-49edf660c71e,Biopsies2.xlsx,11,11,97,,39953,,,,Maui,,,,,,,Big V,#N/A,
