catalog_id,name,biopsy_id,sample_id,sample_lookup_name,source_group,model1_rank,model1_score,model1_evidence,model1_mature_date,model1_immature_date,model1_older_than_count,model1_younger_than_count,model1_basis,model2_rank,model2_score,model2_evidence,model2_mature_date,model2_immature_date,model2_older_than_count,model2_younger_than_count,model2_basis,model3_rank,model3_score,model3_evidence,model3_mature_date,model3_immature_date,model3_older_than_count,model3_younger_than_count,model3_basis,model3_birth_year_anchor_date,model3_immature_plus_15_mature_date,model3_last_evidence_date,rank_change_model1_to_model2,movement_model1_to_model2,rank_change_model2_to_model3,movement_model2_to_model3,rank_change_model1_to_model3,movement_model1_to_model3,current_view_rank,rank_note
934,Big Bertha,1006,BI105,Big Bertha,MPRF,1,9,mature,2007-01-01,,9,0,>15 years MPRF resight history,1,59,mature,1992-01-01,,59,0,MPRF provided age class mature; >15 years MPRF resight history,1,59,mature,1992-01-01,,59,0,MPRF provided age class mature; >15 years MPRF resight history,,,2025-01-01,0,No rank change,0,No rank change,0,No rank change,1,
1009,Hook,1028,BI127,Hook,MPRF,1,9,mature,2007-01-01,,9,0,>15 years MPRF resight history,2,53,mature_and_immature,2007-01-01,1992-01-01,53,0,MPRF provided age class immature; >15 years MPRF resight history,2,53,mature_and_immature,2007-01-01,1992-01-01,53,0,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2007-01-01,2025-01-01,-1,Moved younger/lower,0,No rank change,-1,Moved younger/lower,1,
1195,Takahashi Ray,1037,BI136,Takahashi,MPRF,9,0,mature,2023-06-21,,0,0,>15 years MPRF resight history,3,50,mature,2008-06-21,,50,0,MPRF provided age class mature; >15 years MPRF resight history,3,50,mature,2008-06-21,,50,0,MPRF provided age class mature; >15 years MPRF resight history,,,2024-06-21,6,Moved older/higher,0,No rank change,6,Moved older/higher,16,
1178,Scar,1059,BI158,Scar,MPRF,1,9,mature,2010-10-08,,9,0,>15 years MPRF resight history,4,45,mature,2010-10-08,,45,0,>15 years MPRF resight history,4,45,mature,2010-10-08,,45,0,>15 years MPRF resight history,,,2023-10-08,-3,Moved younger/lower,0,No rank change,-3,Moved younger/lower,3,
694,Maluhia MP24 Cat67,77,BI_K05,Maluhia,HAMER,4,5,mature,2010-12-12,,5,0,HAMER biopsy-linked age class,5,41,mature,2010-12-12,,41,0,HAMER biopsy-linked age class mature,5,41,mature,2010-12-12,,41,0,HAMER biopsy-linked age class mature,,,2017-04-21,-1,Moved younger/lower,0,No rank change,-1,Moved younger/lower,12,
688,Zach a ray MP87 Cat62,76,BI_K02,Zach-a-ray,HAMER,4,5,mature,2010-12-12,,5,0,HAMER biopsy-linked age class,5,41,mature,2010-12-12,,41,0,HAMER biopsy-linked age class mature,5,41,mature,2010-12-12,,41,0,HAMER biopsy-linked age class mature,,,2022-11-01,-1,Moved younger/lower,0,No rank change,-1,Moved younger/lower,29,
1204,Tim,1038,BI137,Tim,MPRF,9,0,none,,,0,0,,7,38,mature,2012-03-19,,38,0,MPRF provided age class mature,7,38,mature,2012-03-19,,38,0,MPRF provided age class mature,,,2024-07-25,2,Moved older/higher,0,No rank change,2,Moved older/higher,22,
247,Olowalu Lefty,57,BI_K26,Lefty,HAMER,6,4,mature,2012-09-03,,4,0,HAMER biopsy-linked age class,8,35,mature,2012-09-03,,35,0,HAMER biopsy-linked age class mature,8,35,mature,2012-09-03,,35,0,HAMER biopsy-linked age class mature,,,,-2,Moved younger/lower,0,No rank change,-2,Moved younger/lower,76,
964,Curly Ray,1027,BI126,Curly,MPRF,7,1,mature,2014-09-03,,1,0,>15 years MPRF resight history,9,26,mature_and_immature,2014-09-03,1999-09-03,27,1,MPRF provided age class immature; >15 years MPRF resight history,9,26,mature_and_immature,2014-09-03,1999-09-03,27,1,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2014-09-03,2023-09-03,-2,Moved younger/lower,0,No rank change,-2,Moved younger/lower,4,
687,Lightning MP44 Cat61,1034,BI133,Lightning,MPRF,7,1,mature,2014-11-01,,1,0,>15 years MPRF resight history,9,26,mature_and_immature,2014-11-01,1999-11-01,27,1,MPRF provided age class immature; >15 years MPRF resight history,9,26,mature_and_immature,2014-11-01,1999-11-01,27,1,MPRF provided age class immature; immature / immature anchor + 15 years mature date; >15 years MPRF resight history,,2014-11-01,2023-11-01,-2,Moved younger/lower,0,No rank change,-2,Moved younger/lower,14,
