pk_sighting_id,total_mantas,linked_manta_count,sighting_date,island,sitelocation,photographer,population,is_mprf
"5066","","1","2018-06-09","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"7266","13","10","2021-01-29","Big Island","Keauhou","@konareesa","Big Island","true"
"7653","12","17","2021-10-24","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"5855","","2","2023-05-21","Oahu","Kaneohe Bay","Mark Royer","Oahu","false"
"10554","4","3","2010-05-20","Big Island","Garden Eel Cove","John Hodson","Big Island","true"
"5885","","3","2023-07-26","Oahu","Electric Beach","Relaxing Tropics","Oahu","false"
"10210","4","3","2011-12-05","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"5015","","1","2018-01-26","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5061","","1","2018-04-15","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5013","","1","2018-01-24","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5078","","1","2018-07-01","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5079","","2","2018-07-02","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5028","","2","2018-01-31","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5492","","3","2019-11-08","Oahu","Kaneohe Bay","Julieene Aulwes","Oahu","false"
"7655","17","0","2021-10-24","Big Island","Garden Eel Cove","Ryan Ta","Big Island","true"
"5875","","2","2023-10-06","Oahu","Kaneohe Bay","Corey Nevels","Oahu","false"
"5780","","1","2022-11-27","Oahu","Kaneohe Bay","Mark Deakos","Oahu","false"
"5772","","1","2022-10-19","Oahu","Electric Beach","Jacob","Oahu","false"
"5149","","1","2019-06-29","Maui","Honolua Bay","Don McLeish","Maui Nui","false"
"5151","","1","2019-08-28","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5787","","1","2022-12-02","Oahu","Magic Island","Sunshine Scuba","Oahu","false"
"7268","9","6","2021-01-30","Big Island","Keauhou","@konareesa","Big Island","true"
"5557","","1","2020-10-11","Niihau","Niihau","Tara Leoda","Kauai","false"
"5007","","1","2018-01-05","Maui","La Perouse","Jamey Kleinhenz","Maui Nui","false"
"7277","4","1","2021-02-02","Big Island","Keauhou","@konareesa","Big Island","true"
"5022","","0","2018-03-27","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5023","","0","2018-03-31","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5024","","0","2018-04-01","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5541","","1","2020-07-30","Maui","Maluaka","Susan O'Shaughnessy","Maui Nui","false"
"5039","","0","2017-12-31","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5000","","1","2018-01-06","Maui","Turtle Arches","Mark Deakos","Maui Nui","false"
"5074","","1","2018-06-23","Maui","Honolua Bay","Don McLeish","Maui Nui","false"
"5031","","1","2018-02-13","Maui","","Mark Deakos","Maui Nui","false"
"5055","","0","2018-04-10","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5174","","1","2020-03-06","Maui","Molokini","Tiffany Morgan","Maui Nui","false"
"5171","","1","2020-02-19","Maui","Makena Landing","Ted Wolfrum","Maui Nui","false"
"5062","","0","2018-05-12","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5215","","2","2019-02-23","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5064","","0","2018-05-30","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5065","","0","2018-06-06","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5068","","0","2018-06-12","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5333","","1","2015-07-11","Maui","Honolua Bay","Manta Pacific Catalog","Maui Nui","false"
"5069","","0","2018-06-13","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5070","","0","2018-06-16","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5336","","1","2015-08-09","Maui","Honolua Bay","Manta Pacific Catalog","Maui Nui","false"
"5072","","0","2018-06-20","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5346","","1","2017-05-30","Maui","Honolua Bay","Manta Pacific Catalog","Maui Nui","false"
"5075","","0","2018-06-24","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5076","","0","2018-06-25","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5077","","0","2018-06-27","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5355","","1","2018-03-03","Maui","Makena Reef","Manta Pacific Catalog","Maui Nui","false"
"5265","","1","2006-03-01","Maui","Molokini","Manta Pacific Catalog","Maui Nui","false"
"5080","","0","2018-07-04","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5081","","0","2018-07-04","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5324","","1","2008-10-04","Maui","Molokini","Manta Pacific Catalog","Maui Nui","false"
"5315","","1","2006-03-01","Maui","Ukumehame","Manta Pacific Catalog","Maui Nui","false"
"5378","","1","2018-08-13","Oahu","Haleiwa","Mark Mohler","Oahu","false"
"5374","","1","2016-11-06","Oahu","Lanai Lookout","Mark Mohler","Oahu","false"
"5087","","0","2018-07-06","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5473","","5","2020-08-08","Big Island","Mauna Kea Hotel","Mark Deakos","Big Island","false"
"5474","","1","2020-08-09","Big Island","Keahou Bay","Mark Deakos","Big Island","false"
"5090","","0","2018-07-10","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5091","","0","2018-07-13","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5092","","0","2018-07-13","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5093","","0","2018-07-14","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5094","","0","2018-07-16","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5095","","0","2018-07-18","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5475","","7","2020-08-09","Big Island","Pu'Ukala Point","Mark Deakos","Big Island","false"
"5097","","0","2018-07-19","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5098","","0","2018-07-26","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5100","","0","2018-07-31","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5102","","0","2018-08-06","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5104","","0","2018-08-11","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5108","","0","2018-08-15","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5362","","1","2006-12-24","Oahu","Hanauma Bay","","Oahu","false"
"5477","","2","2020-08-10","Big Island","Keahou Bay","Mark Deakos","Big Island","false"
"5479","","1","2020-09-22","Maui","Ulua Point","Tess Patalano","Maui Nui","false"
"5480","","1","2020-09-22","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5481","","1","2020-09-11","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5482","","1","2020-09-11","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5483","","1","2020-08-30","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5484","","1","2020-09-23","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5485","","2","2020-08-27","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5486","","3","2020-08-26","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5500","","1","2020-07-21","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5546","","3","2020-08-15","Maui","Makena Landing","B & A ","Maui Nui","false"
"5487","","1","2020-08-25","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5489","","1","2020-08-23","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"9560","3","2","2022-11-19","Big Island","Garden Eel Cove","Ron Jourden","Big Island","true"
"5490","","2","2020-08-21","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5099","","0","2018-07-29","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5101","","0","2018-08-04","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5491","","1","2018-08-01","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5495","","1","2020-06-11","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5496","","1","2020-06-20","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5497","","2","2020-06-23","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
"5555","","1","2020-11-30","Kauai","Poipu","Tara Leoda","Kauai","false"
"5630","","1","2020-10-01","Maui","Sugar Beach","B & A ","Maui Nui","false"
"5498","","2","2020-07-03","Oahu","Pupukea","Julieene Aulwes","Oahu","false"
