pk_sighting_id,total_mantas,linked_manta_count,sighting_date,island,sitelocation,photographer,population,is_mprf
"5066","","1","2018-06-09","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5855","","2","2023-05-21","Oahu","Kaneohe Bay","Mark Royer","Oahu","false"
"5885","","3","2023-07-26","Oahu","Electric Beach","Relaxing Tropics","Oahu","false"
"5015","","1","2018-01-26","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"5061","","1","2018-04-15","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5013","","1","2018-01-24","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5078","","1","2018-07-01","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5079","","2","2018-07-02","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5028","","2","2018-01-31","Maui","Wailea point","Mark Deakos","Maui Nui","false"
"5492","","3","2019-11-08","Oahu","Kaneohe Bay","Julieene Aulwes","Oahu","false"
"5875","","2","2023-10-06","Oahu","Kaneohe Bay","Corey Nevels","Oahu","false"
"5780","","1","2022-11-27","Oahu","Kaneohe Bay","Mark Deakos","Oahu","false"
"5772","","1","2022-10-19","Oahu","Electric Beach","Jacob","Oahu","false"
"5149","","1","2019-06-29","Maui","Honolua Bay","Don McLeish","Maui Nui","false"
"5151","","1","2019-08-28","Maui","Honolua Bay","Mark Deakos","Maui Nui","false"
"5787","","1","2022-12-02","Oahu","Magic Island","Sunshine Scuba","Oahu","false"
"5557","","1","2020-10-11","Niihau","Niihau","Tara Leoda","Kauai","false"
"5007","","1","2018-01-05","Maui","La Perouse","Jamey Kleinhenz","Maui Nui","false"
"5541","","1","2020-07-30","Maui","Maluaka","Susan O'Shaughnessy","Maui Nui","false"
"5000","","1","2018-01-06","Maui","Turtle Arches","Mark Deakos","Maui Nui","false"
"5074","","1","2018-06-23","Maui","Honolua Bay","Don McLeish","Maui Nui","false"
"5031","","1","2018-02-13","Maui","","Mark Deakos","Maui Nui","false"
"5174","","1","2020-03-06","Maui","Molokini","Tiffany Morgan","Maui Nui","false"
