pk_sighting_id,total_mantas,linked_manta_count,sighting_date,island,sitelocation,photographer,population,is_mprf
"7655","17","0","2021-10-24","Big Island","Garden Eel Cove","Ryan Ta","Big Island","true"
"8849","1","0","2017-10-09","Big Island","Keauhou","Alexandra Shlitter","Big Island","true"
"9567","1","0","2022-11-19","Big Island","Garden Eel Cove","Thomas Donohue","Big Island","true"
"7668","15","0","2021-11-04","Big Island","Garden Eel Cove","Ryan Ta","Big Island","true"
"7622","3","0","2021-09-23","Big Island","Keauhou","JDL Staff","Big Island","true"
"7735","7","0","2021-12-27","Big Island","Garden Eel Cove","Kaitlyn McQueeney","Big Island","true"
"7782","1","0","2021-12-28","Big Island","Kohanaiki","Alex Lichtblau","Big Island","true"
"8479","2","0","2013-01-06","Big Island","Garden Eel Cove","Jonathan Davis","Big Island","true"
"7702","5","0","2021-11-13","Big Island","Garden Eel Cove","Ryan Ta","Big Island","true"
"7733","14","0","2021-12-26","Big Island","Garden Eel Cove","Ryan Ta","Big Island","true"
"544","2","0","2015-07-21","Maui","Olowalu","Mark Deakos","Maui Nui","false"
"10325","5","0","2010-02-17","Big Island","Garden Eel Cove","Luke Mason","Big Island","true"
"10568","1","0","2010-05-25","Big Island","Garden Eel Cove","John Hodson","Big Island","true"
"10582","3","0","2010-06-02","Big Island","Garden Eel Cove","Joe Weston","Big Island","true"
"10584","3","0","2010-06-02","Big Island","Garden Eel Cove","Joe Weston","Big Island","true"
"10663","9","0","2010-07-20","Big Island","Garden Eel Cove","Luke Mason","Big Island","true"
"10895","1","0","2010-07-26","Big Island","Garden Eel Cove","Martina Wing","Big Island","true"
"10686","3","0","2010-08-01","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"10705","2","0","2010-08-10","Big Island","Garden Eel Cove","Bo Pardau","Big Island","true"
"7374","1","0","2020-12-04","Big Island","Makolea Beach","Brooks Masiba","Big Island","true"
"10753","6","0","2010-09-08","Big Island","Garden Eel Cove","Katie Key","Big Island","true"
"10755","6","0","2010-09-09","Big Island","Garden Eel Cove","Katie Key","Big Island","true"
"10774","1","0","2010-09-19","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"10783","11","0","2010-09-24","Big Island","Garden Eel Cove","Janine Maira","Big Island","true"
"10788","22","0","2010-09-27","Big Island","Garden Eel Cove","Luke Mason","Big Island","true"
"5956","2","0","2025-10-26","Hawaii","Two Step","ProofUser","","false"
"5965","1","0","2010-01-04","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5966","1","0","2010-01-09","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5969","3","0","2010-01-10","Big Island","Keauhou","Jay Smith","Big Island","true"
"5971","2","0","2010-01-15","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5974","2","0","2010-01-16","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5979","1","0","2010-01-18","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5981","3","0","2010-01-20","Big Island","Keauhou","Jay Smith","Big Island","true"
"5982","3","0","2010-01-21","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5985","3","0","2010-01-23","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5987","2","0","2010-01-25","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5996","2","0","2010-02-02","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"5999","2","0","2010-02-05","Big Island","Keauhou","Danny Scott","Big Island","true"
"6000","1","0","2010-02-05","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"6001","2","0","2010-02-06","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"6003","2","0","2010-02-12","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"6007","3","0","2010-02-16","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10322","3","0","2010-02-17","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10332","1","0","2010-02-19","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"10331","2","0","2010-02-19","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10335","2","0","2010-02-20","Big Island","Garden Eel Cove","John Hodson","Big Island","true"
"10334","3","0","2010-02-20","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10339","5","0","2010-02-22","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"10338","1","0","2010-02-22","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10344","1","0","2010-02-23","Big Island","Garden Eel Cove","Luke Mason","Big Island","true"
"10347","1","0","2010-02-26","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10353","2","0","2010-03-02","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10365","1","0","2010-03-08","Big Island","Garden Eel Cove","Keller Laros","Big Island","true"
"10364","1","0","2010-03-08","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10367","2","0","2010-03-10","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10368","2","0","2010-03-11","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10372","7","0","2010-03-13","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10378","2","0","2010-03-15","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10383","1","0","2010-03-17","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10386","4","0","2010-03-18","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10399","3","0","2010-03-22","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10400","3","0","2010-03-22","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10401","4","0","2010-03-23","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10404","6","0","2010-03-24","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10406","2","0","2010-03-25","Big Island","Garden Eel Cove","John Hodson","Big Island","true"
"10405","1","0","2010-03-25","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10411","1","0","2010-03-26","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10412","6","0","2010-03-27","Big Island","Garden Eel Cove","Luke Mason","Big Island","true"
"10413","1","0","2010-03-27","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10826","2","0","2010-10-28","Big Island","Garden Eel Cove","Luke Mason","Big Island","true"
"10422","3","0","2010-03-30","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10424","1","0","2010-03-31","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10429","2","0","2010-04-01","Big Island","Keauhou","Joshua Lambus","Big Island","true"
"10432","2","0","2010-04-01","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10435","1","0","2010-04-02","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10445","1","0","2010-04-05","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10448","3","0","2010-04-06","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10449","1","0","2010-04-07","Big Island","Garden Eel Cove","Jeff Leicher","Big Island","true"
"10451","12","0","2010-04-07","Big Island","Garden Eel Cove","Jeff Leicher","Big Island","true"
"10459","1","0","2010-04-10","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10464","1","0","2010-04-11","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10469","1","0","2010-04-13","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
"10473","1","0","2010-04-15","Big Island","Keauhou","Angel Wannemacher","Big Island","true"
