catalog_id,name,normalized_name,species,gender,age_class,first_sighting,last_sighting,last_size_m,total_sightings,total_sizes,total_biopsies,mprf,populations,islands,sitelocation,image_link,best_catalog_ventral_thumb_url,best_catalog_ventral_path,best_catalog_photo_url,hamer_name_raw,mprf_name_raw,mprf_example_date,mprf_example_location,mprf_example_location,mprf_id_1,mprf_id_1,mprf_id_2
559,MP_Mindy,MINDY,mobula birostris,Female,,2006-01-11,2006-01-11,,1,0,0,,Maui Nui,Maui,Molokini,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5079/5079.jpg,photos/5079/5079.jpg,,MP_Mindy,Mindy,2020-07-24 00:00:00,"Off the S end of Pebble Beach, just offshore at 65'",1,305,0,1
907,Jennifer,JENNIFER,mobula birostris,Female,Unknown,2024-07-01,2024-07-01,,1,0,0,,Oahu,Oahu,Angler's Reef,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/7426/7426.jpg,photos/7426/7426.jpg,,Jennifer,Jennifer,2003-06-01 00:00:00,Kaiwi Point,1,102,0,1
922,Ash Ali'i,ASH ALI'I,mobula birostris,,,,,,0,0,0,,,,,,,,,Ash Ali'i,Ash Ali'i,2022-02-19 00:00:00,Suck-em-up,1,325,0,1
927,Barbara Ann,BARBARA ANN,mobula birostris,,,,,,0,0,0,,,,,,,,,Barbara Ann,Barbara Ann,2007-11-17 00:00:00,Alula Beach,1,133,0,1
928,Barbara Sue,BARBARA SUE,mobula birostris,,,,,,0,0,0,,,,,,,,,Barbara Sue,Barbara Sue,2020-12-04 00:00:00,"Red Hill, ""on the way to the manta night dive""",1,315,0,1
929,Beartooth,BEARTOOTH,mobula birostris,,,,,,0,0,0,,,,,,,,,Beartooth,Beartooth,2021-05-09 00:00:00,Just out and north of Kealakekua Bay,1,317,0,1
930,Bectina,BECTINA,mobula birostris,,,,,,0,0,0,,,,,,,,,Bectina,Bectina,2018-06-11 00:00:00,Nr Skull Cave,1,280,0,1
931,Bella,BELLA,mobula birostris,,,,,,0,0,0,,,,,,,,,Bella,Bella,2007-07-03 00:00:00,High Rock (nr Golden Arches),1,112,0,1
933,Betty,BETTY,mobula birostris,,,,,,0,0,0,,,,,,,,,Betty,Betty,2019-07-08 00:00:00,1 mi off Magic's,1,289,0,1
935,Billy Ray,BILLY RAY,mobula birostris,,,,,,0,0,0,,,,,,,,,Billy Ray,Billy Ray,2017-11-21 00:00:00,Aquarium,1,270,0,1
