catalog_id,hamer_name,normalized_name,species,gender,age_class,first_sighting,last_sighting,last_size_m,total_sightings,total_sizes,total_biopsies,mprf,populations,islands,sitelocation,image_link,best_catalog_ventral_thumb_url,best_catalog_ventral_path,best_catalog_photo_url
290,Pelagic,PELAGIC,mobula birostris,Male,Adult,2009-04-25,2009-04-25,,1,0,0,,Maui Nui,Maui,Olowalu,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6156/6156.jpg,photos/6156/6156.jpg,
454,Pelagic Romeo,PELAGIC ROMEO,mobula birostris,Male,Adult,2016-04-02,2016-04-02,,1,0,0,,Maui Nui,Maui,Mala,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/4598/4598.jpg,photos/4598/4598.jpg,
455,Pelagic Juliette,PELAGIC JULIETTE,mobula birostris,Female,Unknown,2016-04-02,2016-04-02,,1,0,0,,Maui Nui,Maui,Mala,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/4599/4599.jpg,photos/4599/4599.jpg,
535,Pelagic SunBeam,PELAGIC SUNBEAM,mobula birostris,Female,,2019-01-13,2019-01-13,,1,0,0,,Maui Nui,Maui,Mala,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5021/5021.jpg,photos/5021/5021.jpg,
549,Pelagic Corona,PELAGIC CORONA,mobula birostris,Unknown,Unknown,2020-04-18,2020-04-18,,1,0,0,,Maui Nui,Maui,Maui West Side,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5058/5058.jpg,photos/5058/5058.jpg,
608,MP_Jessi,JESSI,mobula birostris,Female,,2006-09-27,2006-09-27,,1,0,0,,Maui Nui,Maui,Molokini,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5153/5153.jpg,photos/5153/5153.jpg,
612,MP_Tiffany's #88,TIFFANY'S #88,mobula birostris,Male,,2006-12-01,2006-12-01,,1,0,0,,Maui Nui,Maui,Molokini,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5161/5161.jpg,photos/5161/5161.jpg,
615,MP_Pauline's # 92,PAULINE'S # 92,mobula birostris,Unknown,,2008-04-20,2008-04-20,,1,0,0,,Maui Nui,Maui,St. Anthony's Wreck,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5165/5165.jpg,photos/5165/5165.jpg,
616,MP_Guanaco,GUANACO,mobula birostris,Male,,2008-10-04,2008-10-04,,1,0,0,,Maui Nui,Maui,Molokini,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5166/5166.jpg,photos/5166/5166.jpg,
618,MP_Smilie,SMILIE,mobula birostris,Female,,2010-03-21,2010-03-21,,1,0,0,,Maui Nui,Maui,Molokini,Open Image,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/5168/5168.jpg,photos/5168/5168.jpg,
