island,region,sitelocation
Kauaʻi,South Kauai,Poipu
Lānaʻi,South Lanai,Manele Bay
Maui,Molokini,Molokini
Maui,South Maui,Ahihi Kina'u Reserve
Maui,South Maui,La Perouse
Maui,South Maui,Makena
Maui,West Maui,Honolua Bay
Maui,West Maui,Ukumehame
Niihau,,Lehua
Niihau,,Niihau
Oʻahu,Windward Oahu,Makapu'u
Oʻahu,North Shore,Haleʻiwa
Oʻahu,Waianae,Electric Beach
Oʻahu,Leeward Oahu,Ewa Beach
Oʻahu,Honolulu,Kewalo Basin
Oʻahu,Honolulu,Magic Island
Oʻahu,Honolulu,Pearl Harbor
Oʻahu,Waianae,Mākaha
Oʻahu,Waianae,Pokai Bay
Oʻahu,Windward Oahu,Kāneʻohe Bay
