island,region,sitelocation,lat_found,lon_found,lat_offshore,lon_offshore,geocoder_note
"Kauai","East Kauai","Ahukini",21.981379,-159.346048,21.980990,-159.345174,"Ahukini Road;  Lihue;  Hawaii 96766;  United States"
"Kauai","South Kauai","Alertons Beach",22.070000,-159.497500,22.070893,-159.497388,"Kauai;  Hawaii;  United States"
"Kauai","South Kauai","Fathom Rock",22.070000,-159.497500,22.070893,-159.497388,"Kauai;  Hawaii;  United States"
"Kauai","South Kauai","Koloa Landing",21.903908,-159.466013,21.903029,-159.465808,"Koloa;  Hawaii;  United States"
"Kauai","South Kauai","Poipu",21.876670,-159.453660,21.875797,-159.453427,"Poipu;  Hawaii;  United States"
"Kauai","South Kauai","Sheraton Caverns",22.070000,-159.497500,22.070893,-159.497388,"Kauai;  Hawaii;  United States"
"Kauai","South Kauai","Stone House",22.070000,-159.497500,22.070893,-159.497388,"Kauai;  Hawaii;  United States"
"Lanai","South Lanai","Manele Bay",20.742083,-156.889991,20.741272,-156.889575,"Manele Road;  Lanai City;  Hawaii 96763;  United States"
"Maui","Molokini","Molokini",20.630833,-156.495278,20.630222,-156.495983,"Molokini;  Hawaii;  United States"
"Maui","South Maui","Ahihi Kina'u Reserve",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Five Caves",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Kalepolepo Fish Pond",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Kam1",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Kam Beach",21.086302,-157.021099,21.086656,-157.021985,"Beach Place;  Kaunakakai;  Hawaii 96748;  United States"
"Maui","South Maui","Kihei",20.747628,-156.455133,20.747323,-156.456038,"Kihei;  Hawaii;  United States"
"Maui","South Maui","La Perouse",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Makena Reef",20.654985,-156.442490,20.654323,-156.443141,"Makena;  Hawaii;  United States"
"Maui","South Maui","Malakai Point",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Maluaka",20.643240,-156.444460,20.642559,-156.445088,"Maluaka Pl;  Kihei;  Hawaii 96753;  United States"
"Maui","South Maui","Mana Kai",20.752386,-155.987093,20.752242,-155.986144,"Hana;  Hawaii;  United States"
"Maui","South Maui","Molokini",20.630833,-156.495278,20.630222,-156.495983,"Molokini;  Hawaii;  United States"
"Maui","South Maui","One'uli Beach",21.086302,-157.021099,21.086656,-157.021985,"Beach Place;  Kaunakakai;  Hawaii 96748;  United States"
"Maui","South Maui","Palauea",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Pinnacles",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Po'olennalena",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","St. Anthony's Wreck",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Tank and Landing Craft",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","South Maui","Turtle Arches",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","West Maui","Honolua Bay",21.011278,-156.638759,21.011778,-156.639560,"Honolua Place;  Lahaina;  Hawaii 96761;  United States"
"Maui","West Maui","Lahaina",20.875253,-156.679805,20.875441,-156.680746,"Lahaina;  Hawaii;  United States"
"Maui","West Maui","Marty's Reef",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","West Maui","Maui West Side",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","West Maui","Pali Lookout",20.790000,-156.336000,20.789744,-156.336922,"Maui;  Hawaii;  United States"
"Maui","West Maui","Ukumehame",20.801416,-156.584030,20.801422,-156.584992,"Ukumehame;  Lahaina;  Hawaii;  United States"
"Niihau","Lehua","Kaula Rock",21.900000,-160.166667,21.900273,-160.167590,"Niʻihau;  Hawaii;  United States"
"Niihau","Lehua","Lehua/Niihau",21.900000,-160.166667,21.900273,-160.167590,"Niʻihau;  Hawaii;  United States"
"Niihau","Lehua","Niihau",21.900000,-160.166667,21.900273,-160.167590,"Niʻihau;  Hawaii;  United States"
"Niihau","Lehua/Niihau","Lehua/Niihau",21.900000,-160.166667,21.900273,-160.167590,"Niʻihau;  Hawaii;  United States"
"Oahu","East Oahu","Rabbit Island Makapu",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","Northeast Oahu","Mokumanu Islet",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","Northwest Oahu","Haleiwa",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","Northwest Oahu","Kea'au Beach Park",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","Northwest Oahu","Waimea Bay",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","Oahu","Electric Beach",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","Oahu","Hale'iwa",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Ala Wai",21.283147,-157.827522,21.282418,-157.826957,"Ala Wai Boulevard;  Honolulu;  Hawaii 96815;  United States"
"Oahu","South Oahu","Angler's Reef",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Electric Beach",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Ewa Beach",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Ewa Pinnacles",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Halona Beach Cove",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Horeshoe Reef Waikiki",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Kewalo Pipe",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Kewalos Horshoe Reef",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Lanai Lookout",20.825000,-156.920000,20.824506,-156.919196,"Lanai;  Hawaii;  United States"
"Oahu","South Oahu","Magic Island",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Nautilus Dive Site",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Navy Tug",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Pearl Harbor",21.351096,-157.946237,21.350222,-157.946008,"Pearl Harbor Boulevard;  Honolulu;  Hawaii 96860;  United States"
"Oahu","South Oahu","Point Panic",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","Turtle Canyon",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","South Oahu","YO-257 Shipwreck",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","West Oahu","Electric Beach",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","West Oahu","Ewa Pinnacles",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","West Oahu","Makaha",21.470255,-158.208440,21.470214,-158.209405,"Makaha;  Hawaii;  United States"
"Oahu","West Oahu","Makua Beach",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
"Oahu","West Oahu","Pokai Bay",21.438338,-158.187227,21.438149,-158.188172,"Pokai Bay Street;  Waianae;  Hawaii 96792;  United States"
"Oahu","West Oahu","Tracks Beach",21.485000,-157.965000,21.485303,-157.964090,"Oahu;  Hawaii;  United States"
