island,region,sitelocation,lat,lon,km_to_island_center
Maui,South Maui,Ahihi Kina'u Reserve,20.78974,-156.33692,4.00
Maui,South Maui,Ahihi Kina'u Reserve,20.78974,-156.33692,4.00
Maui,South Maui,La Perouse,20.78974,-156.33692,4.00
Maui,South Maui,La Perouse,20.78974,-156.33692,4.00
Oahu,Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,South Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,South Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,South Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,South Oahu,Magic Island,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
Oahu,West Oahu,Electric Beach,21.48530,-157.96409,1.75
