catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref
117,763,972,6179,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/972/972.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6179/6179.jpg,1.0000001192092896
1,783,989,6128,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/989/989.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6128/6128.jpg,1.0
205,46,45,6331,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/45/45.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6331/6331.jpg,1.0
111,719,927,180,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/927/927.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/180/180.jpg,1.0
252,571,725,6319,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/725/725.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6319/6319.jpg,0.9938969612121582
215,948,1250,6262,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1250/1250.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6262/6262.jpg,0.9905232191085815
256,776,985,6077,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/985/985.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6077/6077.jpg,0.9898407459259033
85,589,754,6060,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/754/754.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6060/6060.jpg,0.9840087294578552
79,500,617,6167,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/617/617.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6167/6167.jpg,0.9531794190406799
88,619,791,6217,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/791/791.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6217/6217.jpg,0.9370843172073364
82,521,644,6039,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/644/644.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6039/6039.jpg,0.9222425222396851
133,417,493,6094,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/493/493.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6094/6094.jpg,0.9216227531433105
80,501,621,6041,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/621/621.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6041/6041.jpg,0.9206230640411377
282,354,411,6360,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/411/411.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6360/6360.jpg,0.9169781804084778
106,428,503,6339,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/503/503.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6339/6339.jpg,0.9159199595451355
101,344,398,6358,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/398/398.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6358/6358.jpg,0.915223240852356
14,152,175,6187,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/175/175.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6187/6187.jpg,0.9123973250389099
269,970,1290,6285,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1290/1290.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6285/6285.jpg,0.9011356830596924
15,106,121,6057,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/121/121.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6057/6057.jpg,0.8926790952682495
183,470,575,6357,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/575/575.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6357/6357.jpg,0.8922783732414246
177,145,167,6158,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/167/167.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6158/6158.jpg,0.8898745775222778
141,626,799,6329,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/799/799.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6329/6329.jpg,0.8896355032920837
209,146,168,6147,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/168/168.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6147/6147.jpg,0.8883618712425232
174,745,953,6257,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/953/953.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6257/6257.jpg,0.8863708972930908
69,919,1207,6222,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1207/1207.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6222/6222.jpg,0.881424605846405
65,128,145,6208,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/145/145.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6208/6208.jpg,0.8737362027168274
113,762,971,6083,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/971/971.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6083/6083.jpg,0.8727104067802429
131,838,1060,6181,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1060/1060.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6181/6181.jpg,0.8711178302764893
8,911,1199,6343,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1199/1199.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6343/6343.jpg,0.8635662198066711
254,25,24,6279,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/24/24.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6279/6279.jpg,0.8609023094177246
213,458,560,6393,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/560/560.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6393/6393.jpg,0.8600738048553467
185,921,1209,6328,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1209/1209.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6328/6328.jpg,0.8520265817642212
57,107,122,6023,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/122/122.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6023/6023.jpg,0.851830005645752
251,556,702,6233,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/702/702.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6233/6233.jpg,0.8413993120193481
31,454,549,6290,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/549/549.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6290/6290.jpg,0.8397504091262817
115,212,243,6227,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/243/243.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6227/6227.jpg,0.8392871618270874
