catalog_id,manta_id,q_photo_id,ref_photo_id,q_path,ref_path,cos_ref,kp1,kp2,good,inliers_ref,inlier_ratio_ref,best_other_inliers,best_other_ratio,margin_inliers,margin_ratio
117,763,972,6179,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/972/972.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6179/6179.jpg,1.0000001192092896,1892,1892,1872,1872,1.0,10,0.7142857142857143,1862,0.2857142857142857
256,776,985,6077,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/985/985.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6077/6077.jpg,0.9898407459259032,1713,1628,772,757,0.9805699481865285,7,0.5714285714285714,750,0.40914137675795714
213,458,560,6393,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/560/560.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6393/6393.jpg,0.8600738048553467,1006,1009,601,593,0.9866888519134775,9,0.6,584,0.38668885191347757
177,145,167,6158,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/167/167.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6158/6158.jpg,0.8898745775222778,1289,840,562,538,0.9572953736654805,9,0.5,529,0.45729537366548045
85,589,754,6060,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/754/754.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6060/6060.jpg,0.9840087294578552,713,712,541,534,0.9870609981515711,11,0.6666666666666666,523,0.3203943314849045
280,606,776,6010,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/776/776.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6010/6010.jpg,0.6167978048324585,1261,1109,536,524,0.9776119402985075,7,0.3684210526315789,517,0.6091908876669285
123,599,766,6256,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/766/766.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6256/6256.jpg,0.7183010578155518,1405,1215,500,489,0.978,9,0.5,480,0.478
252,571,725,6319,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/725/725.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6319/6319.jpg,0.9938969612121582,801,807,528,520,0.9848484848484849,53,0.7301587301587301,467,0.25468975468975474
269,970,1290,6285,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/1290/1290.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6285/6285.jpg,0.9011356830596924,1034,873,449,438,0.9755011135857461,8,0.5,430,0.4755011135857461
79,500,617,6167,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/617/617.jpg,https://apweteosdbgsolmvcmhn.supabase.co/storage/v1/object/public/manta-images/photos/6167/6167.jpg,0.95317941904068,684,687,444,437,0.9842342342342343,8,0.6666666666666666,429,0.31756756756756765
