pk_sighting_id,sighting_date,island,region,sitelocation,lat,lon,source_flag
5416,12/8/10,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5417,12/9/10,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5418,12/11/10,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5422,9/5/12,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5424,6/23/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5425,6/24/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5457,6/25/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5458,6/26/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5471,6/26/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5460,10/24/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5461,10/25/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5462,10/25/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5463,10/25/15,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5474,8/9/20,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5477,8/10/20,Big Island,Kona,Keahou Bay,19.55915,-155.96781,original
5473,8/8/20,Big Island,Kona,Mauna Kea Hotel,20.00548,-155.82605,original
5419,12/12/10,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5420,9/2/12,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5421,9/3/12,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5423,6/22/15,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5459,10/23/15,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5472,8/7/20,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5475,8/9/20,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
5478,8/10/20,Big Island,Kona,Pu'Ukala Point,19.77257,-156.05110,original
215,12/23/08,Kahoolawe,North Kahoolawe,Ahupu Bay,20.58100,-156.62100,original
5412,1/26/20,Kauai,East Kauai,Ahukini,21.99266,-159.33085,modified
5626,1/26/20,Kauai,Kauai Unknown,null,null,null,missing
5601,2/1/17,Kauai,South Kauai,Alertons Beach,21.88395,-159.49987,modified
5628,9/30/20,Kauai,South Kauai,Fathom Rock,21.88110,-159.49350,modified
5605,8/5/20,Kauai,South Kauai,Koloa Landing,21.87580,-159.46636,modified
5603,12/28/20,Kauai,South Kauai,Koloa Landing,21.87580,-159.46636,modified
5555,11/30/20,Kauai,South Kauai,Poipu,21.87580,-159.45419,modified
5556,1/9/21,Kauai,South Kauai,Poipu,21.87580,-159.45419,modified
5669,2/5/21,Kauai,South Kauai,Sheraton Caverns,21.87170,-159.46150,modified
5554,1/9/21,Kauai,South Kauai,Stone House,21.87230,-159.46320,missing
5550,1/13/19,Kauai,South Kauai,null,null,null,missing
5676,1/19/22,Kauai,South Kauai,null,20.87125,-159.46368,modified
213,12/19/08,Lanai,North Lanai,Shipwreck Beach,20.92300,-156.90700,original
5624,7/29/19,Lanai,North Lanai,Shipwreck Beach,20.92232,-156.90008,original
5162,8/16/19,Lanai,South Lanai,Manele Bay,20.74191,-156.88528,modified
5235,1/7/03,Maui,Molokini,Molokini,20.63022,-156.49598,original
5241,1/3/04,Maui,Molokini,Molokini,20.63022,-156.49598,original
5238,12/4/04,Maui,Molokini,Molokini,20.63022,-156.49598,original
